timepoint_id,timestamp,timeseries
353612,2050050420,2050_2050-year-round
353616,2050050500,2050_2050-year-round
353620,2050050504,2050_2050-year-round
353624,2050050508,2050_2050-year-round
353628,2050050512,2050_2050-year-round
353632,2050050516,2050_2050-year-round
353636,2050050520,2050_2050-year-round
353640,2050050600,2050_2050-year-round
353644,2050050604,2050_2050-year-round
353648,2050050608,2050_2050-year-round
353652,2050050612,2050_2050-year-round
353656,2050050616,2050_2050-year-round
353660,2050050620,2050_2050-year-round
353664,2050050700,2050_2050-year-round
353668,2050050704,2050_2050-year-round
353672,2050050708,2050_2050-year-round
353676,2050050712,2050_2050-year-round
353680,2050050716,2050_2050-year-round
353684,2050050720,2050_2050-year-round
353688,2050050800,2050_2050-year-round
353692,2050050804,2050_2050-year-round
353696,2050050808,2050_2050-year-round
353700,2050050812,2050_2050-year-round
353704,2050050816,2050_2050-year-round
353708,2050050820,2050_2050-year-round
353712,2050050900,2050_2050-year-round
353716,2050050904,2050_2050-year-round
353720,2050050908,2050_2050-year-round
353724,2050050912,2050_2050-year-round
353728,2050050916,2050_2050-year-round
353732,2050050920,2050_2050-year-round
353736,2050051000,2050_2050-year-round
353740,2050051004,2050_2050-year-round
353744,2050051008,2050_2050-year-round
353748,2050051012,2050_2050-year-round
