GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
154555,1942,0.0,0.0,.
154555,1943,0.0,0.0,.
154556,1967,0.0,0.0,.
154556,1968,0.0,0.0,.
154557,1964,0.0,0.0,.
154558,1964,0.0,0.0,.
154559,1969,0.0,0.0,.
154560,1969,0.0,0.0,.
154561,1986,0.0,0.0,.
154562,1964,0.0,0.0,.
154563,1973,0.0,0.0,.
154563,1977,0.0,0.0,.
154564,1973,0.0,0.0,.
154564,1977,0.0,0.0,.
154565,2013,0.0,0.0,.
154566,1967,0.0,0.0,.
154567,2015,0.0,0.0,.
154568,1968,0.0,0.0,.
154569,1973,0.0,0.0,.
154569,1975,0.0,0.0,.
154569,2010,0.0,0.0,.
154570,1973,0.0,0.0,.
154570,1975,0.0,0.0,.
154570,2010,0.0,0.0,.
154571,1973,0.0,0.0,.
154571,1975,0.0,0.0,.
154571,2010,0.0,0.0,.
154572,1973,0.0,0.0,.
154573,1906,0.0,0.0,.
154573,1908,0.0,0.0,.
154574,1932,0.0,0.0,.
154575,1908,0.0,0.0,.
154576,1909,0.0,0.0,.
154577,1973,0.0,0.0,.
154578,1983,0.0,0.0,.
154579,1983,0.0,0.0,.
154580,1983,0.0,0.0,.
154581,1984,0.0,0.0,.
154582,1984,0.0,0.0,.
154583,1985,0.0,0.0,.
154584,1985,0.0,0.0,.
154585,1983,0.0,0.0,.
154586,1959,0.0,0.0,.
154586,1963,0.0,0.0,.
154587,1968,0.0,0.0,.
154587,1974,0.0,0.0,.
154588,1953,0.0,0.0,.
154588,1954,0.0,0.0,.
154588,1957,0.0,0.0,.
154589,1927,0.0,0.0,.
154589,1939,0.0,0.0,.
154589,2006,0.0,0.0,.
154590,1925,0.0,0.0,.
154591,1993,0.0,0.0,.
154591,2000,0.0,0.0,.
154591,2007,0.0,0.0,.
154592,1945,0.0,0.0,.
154592,1946,0.0,0.0,.
154592,1951,0.0,0.0,.
154592,1964,0.0,0.0,.
154593,1952,0.0,0.0,.
154594,1939,0.0,0.0,.
154594,1942,0.0,0.0,.
154594,1958,0.0,0.0,.
154594,1962,0.0,0.0,.
154594,1970,0.0,0.0,.
154595,1941,0.0,0.0,.
154595,1951,0.0,0.0,.
154595,1967,0.0,0.0,.
154596,2004,0.0,0.0,.
154597,1983,0.0,0.0,.
154598,1999,0.0,0.0,.
154599,1966,0.0,0.0,.
154600,1967,0.0,0.0,.
154601,1950,0.0,0.0,.
154602,1970,0.0,0.0,.
154602,1971,0.0,0.0,.
154603,1959,0.0,0.0,.
154604,1943,0.0,0.0,.
154605,1951,0.0,0.0,.
154606,1954,0.0,0.0,.
154607,1954,0.0,0.0,.
154608,1954,0.0,0.0,.
154609,1962,0.0,0.0,.
154610,1962,0.0,0.0,.
154611,1965,0.0,0.0,.
154611,1976,0.0,0.0,.
154612,1985,0.0,0.0,.
154613,1985,0.0,0.0,.
154614,1986,0.0,0.0,.
154615,1983,0.0,0.0,.
154616,2002,0.0,0.0,.
154617,1983,0.0,0.0,.
154618,1989,0.0,0.0,.
154619,1984,0.0,0.0,.
154620,1984,0.0,0.0,.
154621,1984,0.0,0.0,.
154621,2001,0.0,0.0,.
154622,1995,0.0,0.0,.
154623,1985,0.0,0.0,.
154624,1986,0.0,0.0,.
154625,1983,0.0,0.0,.
154626,1998,0.0,0.0,.
154626,1999,0.0,0.0,.
154626,2000,0.0,0.0,.
154627,1986,0.0,0.0,.
154628,1994,0.0,0.0,.
154629,1987,0.0,0.0,.
154630,1983,0.0,0.0,.
154631,1988,0.0,0.0,.
154632,1978,0.0,0.0,.
154633,1949,0.0,0.0,.
154633,1950,0.0,0.0,.
154634,1958,0.0,0.0,.
154634,1959,0.0,0.0,.
154634,1980,0.0,0.0,.
154635,1952,0.0,0.0,.
154636,1983,0.0,0.0,.
154636,1984,0.0,0.0,.
154637,1937,0.0,0.0,.
154638,1948,0.0,0.0,.
154639,1949,0.0,0.0,.
154640,1967,0.0,0.0,.
154641,1921,0.0,0.0,.
154642,1994,0.0,0.0,.
154643,1920,0.0,0.0,.
154644,1935,0.0,0.0,.
154644,1995,0.0,0.0,.
154645,1937,0.0,0.0,.
154646,1948,0.0,0.0,.
154647,1917,0.0,0.0,.
