gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
Coal_IGCC,AZ_NW,Coal,2050,0,0,0,0,0,0
Coal_IGCC,AZ_PHX,Coal,2050,0,0,0,0,0,0
Coal_IGCC,AZ_SE,Coal,2050,0,0,0,0,0,0
Coal_IGCC,CAN_ALB,Coal,2050,0,0,0,0,0,0
Coal_IGCC,CAN_BC,Coal,2050,0,0,0,0,0,0
Coal_IGCC,CO_DEN,Coal,2050,0,0,0,0,0,0
Coal_IGCC,CO_E,Coal,2050,0,0,0,0,0,0
Coal_IGCC,CO_NW,Coal,2050,0,0,0,0,0,0
Coal_IGCC,CO_SW,Coal,2050,0,0,0,0,0,0
Coal_IGCC,ID_E,Coal,2050,0,0,0,0,0,0
Coal_IGCC,ID_S_OR_E,Coal,2050,0,0,0,0,0,0
Coal_IGCC,MEX_BAJA,Coal,2050,0,0,0,0,0,0
Coal_IGCC,MT_NE,Coal,2050,0,0,0,0,0,0
Coal_IGCC,MT_NW,Coal,2050,0,0,0,0,0,0
Coal_IGCC,MT_SE,Coal,2050,0,0,0,0,0,0
Coal_IGCC,MT_SW,Coal,2050,0,0,0,0,0,0
Coal_IGCC,NM_N,Coal,2050,0,0,0,0,0,0
Coal_IGCC,NM_S_TX_EPE,Coal,2050,0,0,0,0,0,0
Coal_IGCC,NV_N,Coal,2050,0,0,0,0,0,0
Coal_IGCC,NV_S,Coal,2050,0,0,0,0,0,0
Coal_IGCC,OR_E,Coal,2050,0,0,0,0,0,0
Coal_IGCC,OR_PDX,Coal,2050,0,0,0,0,0,0
Coal_IGCC,OR_W,Coal,2050,0,0,0,0,0,0
Coal_IGCC,OR_WA_BPA,Coal,2050,0,0,0,0,0,0
Coal_IGCC,UT_N,Coal,2050,0,0,0,0,0,0
Coal_IGCC,UT_S,Coal,2050,0,0,0,0,0,0
Coal_IGCC,WA_ID_AVA,Coal,2050,0,0,0,0,0,0
Coal_IGCC,WA_N_CEN,Coal,2050,0,0,0,0,0,0
Coal_IGCC,WA_SEATAC,Coal,2050,0,0,0,0,0,0
Coal_IGCC,WA_W,Coal,2050,0,0,0,0,0,0
Coal_IGCC,WY_NE,Coal,2050,0,0,0,0,0,0
Coal_IGCC,WY_NW,Coal,2050,0,0,0,0,0,0
Coal_IGCC,WY_SE,Coal,2050,0,0,0,0,0,0
Coal_IGCC,WY_SW,Coal,2050,0,0,0,0,0,0
Coal_Steam_Turbine,AZ_APS_E,Coal,2050,0,0,0,0,0,0
Coal_Steam_Turbine,AZ_APS_N,Coal,2050,0,0,0,0,0,0
Coal_Steam_Turbine,AZ_APS_SW,Coal,2050,0,0,0,0,0,0
Coal_Steam_Turbine,AZ_NM_N,Coal,2050,0,0,0,0,0,0
