STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
5011_1,353572,441.82
5011_1,353576,465.41
5011_1,353580,476.04
5011_1,353584,483.29
5011_1,353588,466.36
5011_1,353592,487.34
5011_1,353596,439.32
5011_1,353600,456.75
5011_1,353604,466.45
5011_1,353608,481.19
5011_1,353612,470.44
5011_1,353616,473.71
5011_1,353620,439.52
5011_1,353624,458.96
5011_1,353628,470.06
5011_1,353632,486.44
5011_1,353636,471.1
5011_1,353640,472.6
5011_1,353644,450.1
5011_1,353648,467.83
5011_1,353652,470.57
5011_1,353656,481.09
5011_1,353660,469.79
5011_1,353664,481.48
5011_1,353668,449.46
5011_1,353672,460.42
5011_1,353676,468.97
5011_1,353680,485.37
5011_1,353684,480.22
5011_1,353688,477.46
5011_1,353692,446.14
5011_1,353696,460.15
5011_1,353700,478.53
5011_1,353704,475.3
5011_1,353708,476.2
5011_1,353712,483.25
5011_1,353716,446.4
5011_1,353720,465.87
5011_1,353724,475.59
5011_1,353728,483.49
5011_1,353732,469.2
5011_1,353736,486.57
5011_1,353740,452.78
5011_1,353744,473.14
5011_1,353748,473.96
5011_1,353752,483.93
5011_1,353756,471.22
5011_1,353760,482.04
5011_1,353764,427.74
5011_1,353768,471.78
5011_1,353772,468.2
5011_1,353776,497.67
5011_1,353780,457.53
5011_1,353784,490.72
5011_1,353788,415.83
5011_1,353792,447.4
5011_1,353796,463.36
5011_1,353800,479.72
5011_1,353804,463.29
5011_1,353808,480.33
5011_1,353812,433.79
5011_1,353816,449.29
5011_1,353820,471.92
5011_1,353824,477.66
5011_1,353828,452.18
5011_1,353832,475.23
5011_1,353836,427.15
5011_1,353840,441.39
5011_1,353844,458.88
5011_1,353848,475.23
5011_1,353852,468.98
5011_1,353856,523.99
5011_1,353860,340.49
5011_1,353864,378.5
5011_1,353868,403.73
5011_1,353872,453.27
5011_1,353876,395.02
5011_1,353880,458.64
5011_1,353884,338.05
5011_1,353888,368.55
5011_1,353892,383.93
5011_1,353896,444.48
5011_1,353900,429.78
5011_1,353904,401.71
5011_1,353908,339.07
5011_1,353912,365.61
5011_1,353916,372.57
5011_1,353920,492.23
5011_1,353924,454.81
5011_1,353928,370.68
5011_1,353932,349.14
5011_1,353936,377.26
5011_1,353940,399.59
5011_1,353944,500.78
5011_1,353948,452.49
5011_1,353952,438.33
5011_1,353956,366.37
5011_1,353960,397.36
5011_1,353964,422.77
5011_1,353968,513.42
5011_1,353972,453.03
5011_1,353976,451.03
5011_1,353980,388.51
5011_1,353984,419.64
5011_1,353988,442.81
5011_1,353992,491.99
5011_1,353996,486
5011_1,354000,518.66
5011_1,354004,319.58
5011_1,354008,355.13
5011_1,354012,379.23
5011_1,354016,539.12
5011_1,354020,418.33
5011_1,354024,450.19
5011_1,354028,315.13
5011_1,354032,347.34
5011_1,354036,359.57
5011_1,354040,478.81
5011_1,354044,497.99
5011_1,354048,471.55
5011_1,354052,419.25
5011_1,354056,437.68
5011_1,354060,448.31
